z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,PT
2.135121297,-0.373899632,0.010938529,0.565462739,0.925989262,0.090958833,0.829474865,-0.21337278,-1.40617384,0.177793049,1.012307625,0.170237407,-0.131407845,0.357653134,-0.950118064,1.739778753,0.324249249,0.445297232,0.213513277,-0.470233602,0
0.609074749,2.035188512,1.413195164,-5.937512155,4.332397949,-0.493921099,1.042768322,2.412610891,3.982530825,-1.218630825,-1.850242121,0.541358084,1.769209876,-0.045905645,-2.595815039,-0.997619626,1.613275848,-0.190243699,-1.109154833,1.458710248,1
-1.105568336,0.845666452,-0.841666795,0.543631341,-0.797595527,-1.337082511,1.155990201,0.229184694,-0.161309306,-0.663314986,1.08931168,-0.331308139,-0.115460562,-1.239909978,-0.498349784,0.293884722,0.348938699,-0.218695553,-0.953005361,-0.025021992,1
-0.322548684,1.153654695,1.302569352,0.624424127,1.335038209,-0.173632834,-0.686423833,-0.131724469,-0.445766264,-0.692885565,0.315953656,-0.2631194,-0.42533818,0.765453339,-0.77282324,-1.087601196,-0.55891013,-0.121312344,-0.57308308,-0.317115107,0
-2.364118801,0.055111992,0.805108148,0.520330181,0.537074419,0.104634573,0.166538352,1.107220648,-0.432133075,0.188514945,1.067586383,-0.425096913,1.091843563,0.28759683,-0.440720313,0.123667196,0.23145698,-0.734369943,-0.770053709,-0.548274041,1
-1.840470239,0.664256578,1.696917461,1.468952079,-0.960201714,0.931713308,0.160743301,1.015501336,-1.515639707,-0.058055615,-3.230297875,0.492226582,-1.337161012,-0.98125945,-0.744223105,1.094369093,-0.378010293,-0.594673596,-1.8751998,0.440824467,0
-2.409747844,1.070514862,0.966920421,-1.325628466,2.107187358,0.522598634,0.15508897,0.494301258,0.771321489,-0.225195976,-0.364131462,-0.58444469,1.446928167,0.623611982,-1.658035438,-0.322795326,0.132101126,-1.060324793,-1.288842647,-0.344305108,1
-0.924612192,-0.306885443,1.596599689,1.117424415,0.27549021,-0.426937408,0.166179306,0.061674501,0.336272288,-0.208829976,0.024936642,-0.358073012,-0.150554904,-0.001688053,0.010245418,-0.133080234,0.870614184,0.274786713,0.050901831,-1.189405533,1
0.259241062,1.703860439,-0.508475888,1.785847336,-0.269461645,-0.498697919,0.113505668,0.128018741,0.451348141,0.881991113,-0.509381499,-0.688158417,0.44261441,0.268139215,1.175212978,0.298108131,-0.43998785,0.374133002,-0.695018914,0.473215625,0
0.052345118,-0.414695656,-0.740862134,0.587343192,0.141973048,0.665098777,-0.279783328,0.061706035,-0.537201852,-0.185877303,0.572142669,0.036447775,-0.428219566,0.305271215,-0.647211143,0.874738908,-0.142203482,-0.250571037,-0.589941938,-0.567749097,1
1.120005135,-1.583132435,-1.289469004,-0.314040046,0.97593046,2.478015452,0.068762427,0.224152497,-0.334415988,0.111173384,-1.401857976,-0.865224146,1.223151079,0.635208118,0.209135485,0.127891478,-0.055851543,-0.956501979,0.774512893,-0.076201855,1
-0.436081004,0.766201409,1.003147459,2.170096858,-0.11404622,-1.831944383,-1.033235483,0.21987194,-0.377697567,-0.626838791,0.18350256,0.371450208,0.443811539,0.353751024,-0.244838204,0.141458829,2.050203066,0.053420701,-0.401793506,-1.023262186,1
0.437862472,-0.113605621,0.146669583,-0.132661901,-0.070830583,-0.209666554,0.26237684,-0.210374721,-0.466917583,-0.266465346,-0.268717514,-0.610011852,-1.100888714,-0.255146974,0.77475045,0.698134351,0.07461404,0.001945687,-0.366438281,0.598116842,1
2.862631623,0.472387782,-1.297107209,1.262869867,0.334640329,0.729905295,-1.180453894,-0.627787246,0.748997291,-0.551960405,-0.42735287,0.186221466,0.805463645,-0.839267077,-1.0369873,-0.248515677,0.566690088,0.724640038,-1.070764518,-0.118750366,0
4.085803448,-0.604719438,-0.858286467,0.324987319,0.818036575,0.278954648,2.1601763,0.883063426,0.37281804,-0.036903315,0.92724668,0.635650991,1.121373934,0.122833691,0.742402813,1.177317063,1.067910069,0.473204211,1.43876432,0.414698275,0
